Name;Web Link;Artikel;Versandgewicht;Kurz beschreibung;Beschreibung;Preise;Preise Info;Lieferzeit;Bilder
Schlauchaufroller OSM 210;https://www.ebinger-gmbh.com/kategorien/schlauchaufroller/hochdruck-400/id-1210400-schlauchaufroller-osm-210.html;1.210.400;8 kg;Max. 400bar/130°C, Max. 10m - 8mm ID Hochdruckschlauch 2SN, Gehäuse Stahl lackiert, ABS-Kunststoff, Ohne Schlauch;Federrückzug, Schlaucharretierung, Montagehalter fix (Optional schwenkbar), In jeder Position montierbar;351,00 €;Preise inkl. gesetzlicher MwSt. zzgl. Versandkosten;5-7 Tage;https://www.ebinger-gmbh.com/isotope/i/img_f71b8f1f4c0d1c581862889cadfe6bf9.jpg
Schlauchaufroller OSM 210;https://www.ebinger-gmbh.com/kategorien/schlauchaufroller/hochdruck-400/id-1210401-schlauchaufroller-osm-210.html;1.210.401;8.05 kg;Max. 400bar/130°C, 10m - 8mm ID Hochdruckschlauch 2SN, Gehäuse Stahl lackiert, ABS-Kunststoff, Anschlüsse 22x1,5 (alternativ andere möglich);Federrückzug, Schlaucharretierung, Montagehalter fix (Optional schwenkbar), In jeder Position montierbar;510,00 €;Preise inkl. gesetzlicher MwSt. zzgl. Versandkosten;5-7 Tage;https://www.ebinger-gmbh.com/isotope/i/img_660e91299207e82b8e64bf951939c10e.jpg
Schlauchaufroller OSM 210;https://www.ebinger-gmbh.com/kategorien/schlauchaufroller/hochdruck-400/id-1214400-schlauchaufroller-osm-210.html;1.214.400;8 kg;Max. 400bar/130°C, Max. 10m - 8mm ID Hochdruckschlauch 2SN, Gehäuse Edelstahl, ABS-Kunststoff, Ohne Schlauch;Federrückzug, Schlaucharretierung, Montagehalter fix (Optional schwenkbar), Schlauchrollenführung verstellbar, In jeder Position montierbar;465,00 €;Preise inkl. gesetzlicher MwSt. zzgl. Versandkosten;5-7 Tage;https://www.ebinger-gmbh.com/isotope/i/img_fafb723835505b9363c729c5ae2b4143.jpg
Schlauchaufroller OSM 210;https://www.ebinger-gmbh.com/kategorien/schlauchaufroller/hochdruck-400/id-1214401-schlauchaufroller-osm-210.html;1.214.401;8.05 kg;Max. 400bar/130°C, 10m - 8mm ID Hochdruckschlauch 2SN, Gehäuse Edelstahl, ABS-Kunststoff, Anschlüsse 22x1,5 (alternativ andere möglich);Federrückzug, Schlaucharretierung, Montagehalter fix (Optional schwenkbar), Schlauchrollenführung verstellbar, In jeder Position montierbar;625,00 €;Preise inkl. gesetzlicher MwSt. zzgl. Versandkosten;5-7 Tage;https://www.ebinger-gmbh.com/isotope/i/img_b49b581ac7d5c6adf44b117e8dd9754e.jpg
Schlauchaufroller OSM 310;https://www.ebinger-gmbh.com/kategorien/schlauchaufroller/hochdruck-400/id-1310400-schlauchaufroller-osm-310.html;1.310.400;12 kg;Max. 400bar/130°C, Max. 15m - 8mm ID Hochdruckschlauch 2SN, Gehäuse Stahl lackiert, ABS-Kunststoff, Ohne Schlauch;Federrückzug, Schlaucharretierung, Wandhalter schwenkbar 110°, In jeder Position montierbar;404,00 €;Preise inkl. gesetzlicher MwSt. zzgl. Versandkosten;5-7 Tage;https://www.ebinger-gmbh.com/isotope/i/img_ab43f1e38ccae6b3acd7957fe598b145.jpg
Schlauchaufroller OSM 210;https://www.ebinger-gmbh.com/kategorien/schlauchaufroller/hochdruck-400/id-1210402-schlauchaufroller-osm-210.html;1.210.402;8.05 kg;Max. 400bar/130°C, 10m - 8mm ID Hochdruckschlauch 2SN blau, abriebfest, Gehäuse Stahl lackiert, ABS-Kunststoff, Anschlüsse 22x1,5 (alternativ andere möglich);Federrückzug, Schlaucharretierung, Montagehalter fix (Optional schwenkbar), In jeder Position montierbar;516,00 €;Preise inkl. gesetzlicher MwSt. zzgl. Versandkosten;5-7 Tage;https://www.ebinger-gmbh.com/isotope/i/img_660e91299207e82b8e64bf951939c10e.jpg
Schlauchaufroller OSM 210;https://www.ebinger-gmbh.com/kategorien/schlauchaufroller/hochdruck-400/id-1214402-schlauchaufroller-osm-210.html;1.214.402;8.05 kg;Max. 400bar/130°C, 10m - 8mm ID Hochdruckschlauch 2SN blau abriebfest, Gehäuse Edelstahl, ABS-Kunststoff, Anschlüsse 22x1,5 (alternativ andere möglich);Federrückzug, Schlaucharretierung, Montagehalter fix (Optional schwenkbar), Schlauchrollenführung verstellbar, In jeder Position montierbar;631,00 €;Preise inkl. gesetzlicher MwSt. zzgl. Versandkosten;5-7 Tage;https://www.ebinger-gmbh.com/isotope/i/img_b49b581ac7d5c6adf44b117e8dd9754e.jpg
Schlauchaufroller OSM 310;https://www.ebinger-gmbh.com/kategorien/schlauchaufroller/hochdruck-400/id-1310401-schlauchaufroller-osm-310.html;1.310.401;12.05 kg;Max. 400bar/130°C, 15m - 8mm ID Hochdruckschlauch 2SN, Gehäuse Stahl lackiert, ABS-Kunststoff, Anschlüsse 22x1,5 (alternativ andere möglich);Federrückzug, Schlaucharretierung, Wandhalter schwenkbar 110°, In jeder Position montierbar;592,00 €;Preise inkl. gesetzlicher MwSt. zzgl. Versandkosten;5-7 Tage;https://www.ebinger-gmbh.com/isotope/i/img_d73f7c07d2cb64521951a4ee61954ed4.jpg
Schlauchaufroller OSM 310;https://www.ebinger-gmbh.com/kategorien/schlauchaufroller/hochdruck-400/id-1310402-schlauchaufroller-osm-310.html;1.310.402;12.05 kg;Max. 400bar/130°C, 15m - 8mm ID Hochdruckschlauch 2SN blau, abriebfest, Gehäuse Stahl lackiert, ABS-Kunststoff, Anschlüsse 22x1,5 (alternativ andere möglich);Federrückzug, Schlaucharretierung, Wandhalter schwenkbar 110°, In jeder Position montierbar;606,00 €;Preise inkl. gesetzlicher MwSt. zzgl. Versandkosten;5-7 Tage;https://www.ebinger-gmbh.com/isotope/i/img_d73f7c07d2cb64521951a4ee61954ed4.jpg
Schlauchaufroller OSM 210;https://www.ebinger-gmbh.com/kategorien/schlauchaufroller/hochdruck-100/id-1210200-schlauchaufroller-osm-210.html;1.210.200;8 kg;Max. 100bar/130°C, Max. 10m - 10mm ID Hochdruckschlauch 1SN, Gehäuse Stahl lackiert, ABS-Kunststoff, Ohne Schlauch;Federrückzug, Schlaucharretierung, Montagehalter fix (Optional schwenkbar), In jeder Position montierbar;309,00 €;Preise inkl. gesetzlicher MwSt. zzgl. Versandkosten;5-7 Tage;https://www.ebinger-gmbh.com/isotope/i/img_f71b8f1f4c0d1c581862889cadfe6bf9.jpg
